,id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,seller_zip_code_prefix,seller_city,seller_state
6,ba63ad9eaf3dc6369f8187e7251c0870,perfumaria,38.0,1813.0,3.0,5850.0,27.0,20.0,35.0,090d23542dd542b9a9e25fa9d5d9e528,1,ba63ad9eaf3dc6369f8187e7251c0870,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-11 14:52:02,349.97,59.0,3694,sao paulo,SP
7,ba63ad9eaf3dc6369f8187e7251c0870,perfumaria,38.0,1813.0,3.0,5850.0,27.0,20.0,35.0,25b0aadbfdbdc6fcc91820762f6aaf35,1,ba63ad9eaf3dc6369f8187e7251c0870,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-20 22:50:22,349.97,37.8,3694,sao paulo,SP
10,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,154f3e62bb635300cf9a1d6c4940636d,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-11 00:52:25,349.97,16.54,3694,sao paulo,SP
11,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,2ab10ab526351fd3b05219e9eb4f7d9f,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-17 22:31:19,349.97,16.76,3694,sao paulo,SP
12,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,a29c6282a6e4ec30881051cfaa99029c,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-22 17:31:11,349.97,25.25,3694,sao paulo,SP
13,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,dd8685cc92ade5d98e60812dfaffb087,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-12 15:50:13,349.97,50.06,3694,sao paulo,SP
14,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,4c3a834add3595c42eaefa65d28d6fbe,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-16 22:15:13,682.98,45.76,3694,sao paulo,SP
15,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,5bebe0296b65287e94b489cd279782cc,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-21 11:50:59,682.98,20.08,3694,sao paulo,SP
16,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,c2d986bdce3f3823bbd8b8b4e37f5727,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-07-26 09:32:06,682.98,69.23,3694,sao paulo,SP
17,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,e2e6ee1ed2d7f2f36b05d234983bd7a0,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-01 09:50:20,682.98,69.23,3694,sao paulo,SP
18,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,ea9c1cc0e0584ca0228d483668d95799,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-05-24 17:55:25,682.98,27.36,3694,sao paulo,SP
21,26c48bbde38fc8ca6a01eff68015e35d,perfumaria,39.0,1813.0,3.0,3000.0,27.0,20.0,35.0,45714388825b2025b19af04c84924cdd,1,26c48bbde38fc8ca6a01eff68015e35d,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-12 09:30:19,349.97,25.03,3694,sao paulo,SP
12281,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,24b1c4d88fdb7a2dc87f8ecc7d8f47f1,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-08-03 09:50:14,339.0,17.13,13030,campinas,SP
